arm,epoch,kind,side,sec,ask,fill_px,p,p_venue,ev,thr,rv60,move_bps,spent,win,pnl
8795,1789600500,EF,DOWN,61,0.38,0.38,0.5438,0.63,0.369,0.25,0.6708,-0.14,2.99,0,-2.9946
8796,1789600500,EF,DOWN,61,0.38,0.38,0.5438,0.63,0.369,0.25,0.6708,-0.14,2.99,0,-2.9946
8795,1789601100,EF,UP,220.7,0.42,0.42,0.6024,0.4,0.3761,0.25,0.3705,1.34,3,0,-2.9969
8796,1789601100,EF,UP,220.7,0.42,0.42,0.5694,0.385,0.3007,0.25,0.3784,1.34,3,0,-2.9969
8795,1789602900,EF,DOWN,33.2,0.44,0.44,0.6272,0.565,0.3695,0.25,0.3134,-1.04,2.99,1,3.5526
8795,1789603500,EF,UP,142.1,0.38,0.38,0.5314,0.375,0.3377,0.25,0.3812,-0.77,2.99,1,4.5581
8796,1789603500,EF,UP,161.7,0.45,0.45,0.6776,0.445,0.4478,0.25,0.4934,2.72,2.99,1,3.4091
8795,1789603800,EF,DOWN,219.2,0.32,0.32,0.5098,0.685,0.5173,0.25,0.3413,-0.19,3,0,-2.9961
8796,1789603800,EF,DOWN,219.2,0.32,0.32,0.5098,0.685,0.5173,0.25,0.3423,-0.19,3,0,-2.9961
8795,1789604400,EF,DOWN,40.8,0.47,0.47,0.6272,0.535,0.2849,0.25,0.2285,-0.22,3,0,-2.9972
8796,1789604400,EF,DOWN,41,0.47,0.47,0.6272,0.535,0.2849,0.25,0.3028,-1.6,3,0,-2.9972
8795,1789605300,EF,UP,196,0.38,0.38,0.5314,0.375,0.3377,0.25,0.4136,1.31,2.99,1,4.5581
8796,1789605300,EF,UP,195.7,0.38,0.38,0.5314,0.375,0.3377,0.25,0.4927,1.31,2.99,1,4.5581
8795,1789606200,EF,DOWN,199.2,0.5,0.5,0.6272,0.505,0.2104,0.15,0.1505,-1.44,2.99,1,2.7889
8796,1789606200,EF,DOWN,199.3,0.5,0.5,0.6272,0.505,0.2104,0.15,0.1508,-1.44,2.99,1,2.7889
8795,1789607100,EF,DOWN,28.4,0.44,0.44,0.5438,0.565,0.1875,0.15,0.1068,-0,2.03,0,-2.0348
8796,1789607100,EF,DOWN,30,0.48,0.48,0.5943,0.525,0.1931,0.15,0.1068,-0,3,0,-2.9952
8796,1789607700,EF,DOWN,118.4,0.43,0.43,0.5943,0.58,0.327,0.25,0.6097,-3.38,2.99,0,-2.9949
8796,1789608000,EF,DOWN,44.5,0.38,0.38,0.5098,0.625,0.2834,0.25,0.3598,3.14,1.98,0,-1.9825
8795,1789608600,EF,UP,112.8,0.48,0.48,0.6776,0.475,0.3603,0.25,0.5783,2.76,3,1,3.0256
8795,1789608900,EF,UP,72.3,0.46,0.46,0.623,0.455,0.3032,0.25,0.5364,1.73,3,1,3.2834
8795,1789609200,EF,UP,221.6,0.27,0.27,0.5314,0.265,0.8676,0.25,0.4558,4.35,3,0,-2.9956
8796,1789609200,EF,UP,221.7,0.29,0.29,0.5694,0.285,0.866,0.25,0.4475,4.35,2.99,0,-5.9897
8796,1789609200,REVERSAL,UP,216.4,,0.1514,0.6493,,,0,,,3,0,-5.9897
8795,1789612200,EF,DOWN,180.7,0.39,0.3932,0.5402,0.615,0.3259,0.25,0.3974,1.42,2.99,0,-2.9919
8796,1789612200,EF,DOWN,180.6,0.39,0.39,0.5402,0.615,0.3259,0.25,0.3378,1.42,2.99,0,-2.9926
8795,1789612800,EF,UP,57.1,0.5,0.5,0.6776,0.495,0.3078,0.25,0.2701,1.83,2.99,1,2.7889
8796,1789612800,EF,UP,57.3,0.5,0.5,0.6776,0.495,0.3078,0.25,0.3036,1.83,2.99,1,2.7889
8795,1789613400,EF,DOWN,150.2,0.34,0.34,0.5438,0.665,0.5256,0.25,0.4232,-1.31,2.99,1,5.4196
8796,1789613400,EF,DOWN,150.1,0.34,0.34,0.5098,0.665,0.4301,0.25,0.3957,-0.49,2.99,1,5.4196
8795,1789613700,EF,DOWN,119.9,0.38,0.38,0.5098,0.625,0.2834,0.25,0.1868,2.53,2.99,0,-2.9946
8796,1789613700,EF,DOWN,120.6,0.38,0.38,0.5098,0.625,0.2834,0.25,0.1728,2.32,2.99,0,-2.9946
8795,1789614000,EF,DOWN,123.4,0.38,0.38,0.5098,0.625,0.2834,0.25,0.2636,1.83,2.99,0,-2.9946
8796,1789614000,EF,DOWN,123.4,0.38,0.38,0.5098,0.625,0.2834,0.25,0.2609,1.83,2.99,0,-2.9946
8795,1789614300,EF,DOWN,27.5,0.37,0.3746,0.5098,0.64,0.3171,0.25,0.3087,2.93,3,1,4.6657
8796,1789614300,EF,DOWN,27.5,0.37,0.3746,0.5098,0.64,0.3171,0.25,0.3064,2.88,3,1,4.6657
8795,1789614900,EF,DOWN,190.4,0.41,0.41,0.5909,0.6,0.3817,0.25,0.2462,-0.9,3,0,-2.9989
8796,1789614900,EF,DOWN,190.6,0.41,0.41,0.6272,0.6,0.4665,0.25,0.2767,-1.26,3,0,-2.9989
8795,1789615500,EF,DOWN,64.8,0.38,0.38,0.5098,0.625,0.2834,0.25,0.6091,1.07,2.99,0,-2.9946
8796,1789615500,EF,DOWN,64.3,0.38,0.38,0.5098,0.625,0.2834,0.25,0.3822,1.11,2.99,0,-2.9946
8795,1789615800,EF,DOWN,59.2,0.43,0.43,0.5943,0.575,0.327,0.25,0.4998,0.26,2.35,0,-2.3521
8796,1789615800,EF,DOWN,56.8,0.38,0.38,0.5098,0.625,0.2834,0.25,0.3971,1.89,2.99,0,-2.9946
8795,1789616400,EF,DOWN,102.6,0.43,0.43,0.5438,0.575,0.2142,0.15,0.112,0.93,2.99,1,3.7028
8796,1789616400,EF,DOWN,77.6,0.44,0.44,0.5909,0.565,0.2903,0.25,0.2868,-0.19,2.99,1,3.5526
8795,1789616700,EF,DOWN,60.2,0.38,0.38,0.5098,0.625,0.2834,0.25,0.316,1.35,2.99,1,4.5581
8796,1789616700,EF,DOWN,60.2,0.38,0.38,0.5098,0.625,0.2834,0.25,0.316,1.35,2.99,1,4.5581
8795,1789617000,EF,DOWN,92,0.4,0.4,0.5438,0.61,0.3025,0.25,0.2847,-1.05,2.53,1,3.5342
8796,1789617000,EF,DOWN,91.9,0.4,0.4,0.5402,0.61,0.2937,0.25,0.2824,-1.05,2.53,1,3.5342
8795,1789617300,EF,DOWN,23.5,0.44,0.44,0.5438,0.565,0.1875,0.15,0.0555,0.52,2.99,0,-2.9929
8796,1789617300,EF,DOWN,23.4,0.44,0.44,0.5402,0.565,0.1796,0.15,0.0668,0.52,2.99,0,-2.9929
8795,1789617900,EF,DOWN,67,0.39,0.39,0.5098,0.615,0.2514,0.15,0.0008,-0,2.99,1,4.3664
8796,1789617900,EF,DOWN,67.2,0.39,0.39,0.5098,0.615,0.2514,0.15,0.0009,-0,2.99,1,4.3664
8795,1789618500,EF,DOWN,25.4,0.5,0.5,0.6272,0.505,0.2104,0.15,0.0008,0,2.99,1,2.7889
8796,1789618500,EF,DOWN,135.1,0.48,0.48,0.5943,0.525,0.1931,0.15,0.0671,-0.02,3,1,3.0256
8795,1789619100,EF,DOWN,63.6,0.4,0.4,0.5098,0.605,0.221,0.15,0.1663,0.32,2.99,0,-2.9905
8796,1789619100,EF,DOWN,63.6,0.4,0.4,0.5098,0.605,0.221,0.15,0.1663,0.32,2.99,0,-5.9878
8796,1789619100,REVERSAL,DOWN,64.2,,0.47,0.7291,,,0,,,3,0,-5.9878
8795,1789620000,EF,DOWN,74.7,0.38,0.38,0.5098,0.625,0.2834,0.25,0.6177,1.27,2.99,0,-2.9946
8796,1789620000,EF,DOWN,74.6,0.38,0.38,0.5098,0.63,0.2834,0.25,0.5759,1.27,2.99,0,-2.9946
8795,1789621200,EF,UP,192.3,0.44,0.44,0.5896,0.435,0.2874,0.25,0.506,3.11,2.99,0,-2.9929
8796,1789621200,EF,UP,191.6,0.42,0.42,0.5694,0.405,0.3007,0.25,0.5479,3.09,3,0,-2.9969
8795,1789622400,EF,DOWN,62,0.38,0.38,0.5098,0.625,0.2834,0.25,0.212,-0.74,2.99,0,-2.9946
8796,1789622400,EF,DOWN,62.1,0.38,0.38,0.5098,0.625,0.2834,0.25,0.212,-0.74,2.99,0,-2.9946
8795,1789622700,EF,DOWN,89.4,0.35,0.35,0.5438,0.655,0.4831,0.25,0.7379,2.23,2.99,0,-2.9901
8796,1789622700,EF,DOWN,89.4,0.35,0.35,0.5438,0.655,0.4831,0.25,0.7399,2.23,2.99,0,-2.9901
8795,1789623300,EF,DOWN,22.1,0.36,0.36,0.5098,0.645,0.3527,0.25,0.3297,-1.83,3,1,4.9736
8796,1789623300,EF,DOWN,22,0.36,0.36,0.5098,0.645,0.3527,0.25,0.3366,-1.83,3,1,4.9736
8795,1789623600,EF,DOWN,38.2,0.46,0.46,0.5909,0.545,0.236,0.15,0.0528,0.18,3,1,3.2834
8795,1789624200,EF,UP,120.5,0.51,0.51,0.623,0.505,0.1797,0.15,0.0498,1.31,3,1,2.6868
8796,1789624200,EF,UP,120.7,0.51,0.51,0.623,0.505,0.1797,0.15,0.05,1.31,3,1,2.6868
8795,1789624500,EF,DOWN,25,0.43,0.43,0.6272,0.575,0.4003,0.25,0.2872,-2.2,2.99,1,3.7028
8796,1789624500,EF,DOWN,25.1,0.43,0.43,0.5943,0.575,0.327,0.25,0.321,-2.46,2.99,1,3.7028
8795,1789625100,EF,DOWN,77.2,0.4,0.4,0.5438,0.635,0.3025,0.25,0.661,2.2,2.99,0,-2.9905
8796,1789625100,EF,DOWN,77.1,0.35,0.35,0.5098,0.68,0.3903,0.25,0.7254,2.25,2.99,0,-2.9901
8796,1789625400,EF,DOWN,37.5,0.43,0.43,0.5943,0.575,0.327,0.25,0.3638,-1.2,2.99,0,-2.9949
8795,1789626300,EF,DOWN,25.9,0.44,0.44,0.5402,0.565,0.1796,0.15,0.0008,0,2.99,0,-2.9929
8796,1789626300,EF,DOWN,26.1,0.44,0.44,0.5943,0.565,0.2978,0.15,0.0008,0,2.99,0,-2.9929
8795,1789628400,EF,DOWN,189.5,0.52,0.521,0.6975,0.485,0.2962,0.25,0.6374,0.35,3,0,-2.9972
8796,1789628400,EF,DOWN,189.5,0.43,0.43,0.5943,0.615,0.327,0.25,0.6374,0.35,2.99,0,-2.9949
8795,1789629000,EF,DOWN,119.9,0.53,0.53,0.6975,0.475,0.2727,0.25,0.4254,-1.76,3,1,2.4763
8796,1789629000,EF,DOWN,119.8,0.53,0.53,0.6975,0.475,0.2727,0.25,0.3821,-0.98,3,1,2.4763
8795,1789629300,EF,UP,76.3,0.42,0.42,0.5896,0.415,0.3468,0.25,0.2857,2.05,3,1,3.8602
8796,1789629300,EF,UP,76.4,0.42,0.42,0.5694,0.415,0.3007,0.25,0.3226,2.32,3,1,3.8602
8796,1789629600,REVERSAL,UP,202,,0.18,0.6199,,,0,,,2.99,0,-2.9924
8795,1789629900,EF,DOWN,37.7,0.37,0.37,0.5438,0.645,0.405,0.25,0.5208,-1.51,3,1,4.7602
8796,1789630200,REVERSAL,UP,216.2,,0.13,0.6947,,,0,,,2.99,0,-2.9917
8795,1789632300,EF,DOWN,39.1,0.37,0.37,0.5098,0.635,0.3171,0.15,0.1335,-1.31,3,1,4.7602
8796,1789632300,EF,DOWN,39.1,0.37,0.37,0.5098,0.635,0.3171,0.15,0.1335,-1.31,3,1,4.7602
8795,1789632600,EF,UP,19.2,0.47,0.47,0.623,0.465,0.2764,0.25,0.2447,1.67,3,0,-2.9972
8796,1789632600,EF,UP,19.2,0.47,0.47,0.623,0.465,0.2764,0.25,0.2447,1.67,3,0,-2.9972
8795,1789633500,EF,UP,196.9,0.55,0.55,0.6776,0.545,0.1932,0.15,0.0206,2.94,2.99,0,-2.9913
8796,1789633500,EF,UP,196.8,0.55,0.55,0.6776,0.545,0.1932,0.15,0.0206,2.94,2.99,0,-2.9913
8795,1789633800,EF,UP,123.2,0.53,0.53,0.7167,0.525,0.3077,0.25,0.5526,1.31,3,0,-2.9954
8795,1789634400,EF,DOWN,27.6,0.5,0.5,0.6636,0.505,0.2808,0.25,0.5867,-6.24,2.99,1,2.7889
8796,1789634400,EF,DOWN,27.6,0.5,0.5,0.6636,0.505,0.2808,0.25,0.5867,-6.24,2.99,1,2.7889
8795,1789634700,EF,DOWN,219.8,0.51,0.51,0.6272,0.495,0.1876,0.15,0.1479,-1.04,3,1,2.6868
8796,1789634700,EF,DOWN,219.9,0.51,0.51,0.6272,0.495,0.1876,0.15,0.1478,-1.04,3,1,2.6868
8796,1789635300,REVERSAL,DOWN,238.2,,0.12,0.6574,,,0,,,2.99,0,-2.9937
8795,1789635600,EF,UP,20.7,0.56,0.56,0.6776,0.555,0.1728,0.15,0.1441,0,3,1,2.1968
8796,1789635600,EF,UP,21.8,0.56,0.56,0.6776,0.555,0.1728,0.15,0.1441,0,3,1,2.1968
8795,1789635900,EF,DOWN,187.3,0.44,0.4408,0.5943,0.57,0.2978,0.25,0.3172,-1.21,2.99,1,3.5406
8795,1789636500,EF,UP,158,0.52,0.52,0.7115,0.515,0.3224,0.25,0.3461,1.11,3,0,-2.9974
8795,1789636800,EF,UP,16.5,0.51,0.51,0.6776,0.505,0.2831,0.25,0.4902,3.22,3,1,2.6868
8796,1789636800,EF,UP,16.5,0.51,0.51,0.6776,0.505,0.2831,0.25,0.4902,3.22,3,1,2.6868
8795,1789637100,EF,UP,19.2,0.42,0.42,0.5314,0.415,0.2139,0.15,0.1355,0,3,0,-2.9969
8796,1789637100,EF,UP,18.7,0.43,0.43,0.5314,0.425,0.1865,0.15,0.1355,0,2.99,0,-2.9949
8795,1789637400,EF,UP,88.6,0.5,0.5,0.6776,0.495,0.3078,0.25,0.3999,1.37,2.99,0,-2.9912
8796,1789637400,EF,UP,88.6,0.5,0.5,0.6776,0.495,0.3078,0.25,0.3999,1.37,2.99,0,-2.9912
8795,1789638600,EF,DOWN,73.9,0.54,0.54,0.7164,0.465,0.284,0.25,0.5067,-4.66,2.99,1,2.377
8796,1789638600,EF,DOWN,73.7,0.54,0.54,0.7164,0.465,0.284,0.25,0.5067,-4.66,2.99,1,2.377
8796,1789638900,EF,DOWN,71.7,0.41,0.41,0.5438,0.595,0.2716,0.15,0.1656,-1.29,3,1,4.0255
8795,1789639800,EF,UP,63,0.41,0.41,0.5896,0.405,0.3786,0.25,0.3121,1.05,3,1,4.0255
8796,1789639800,EF,UP,62.9,0.41,0.41,0.5694,0.405,0.3315,0.25,0.2329,0.52,3,1,4.0255
8795,1789640400,EF,DOWN,135.5,0.54,0.54,0.7164,0.465,0.284,0.25,0.2932,-2.9,2.99,1,2.377
8795,1789640700,EF,UP,60.4,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0822,0.68,3,1,3.2834
8796,1789640700,EF,UP,60.5,0.46,0.46,0.5694,0.455,0.1911,0.15,0.1319,1.32,3,1,3.2834
8795,1789642500,EF,UP,130.5,0.42,0.42,0.5896,0.415,0.3468,0.25,0.4996,0.41,3,1,3.8602
8796,1789642500,EF,UP,130.5,0.42,0.42,0.623,0.415,0.4232,0.25,0.5022,0.43,3,1,3.8602
8795,1789642800,EF,DOWN,120.4,0.43,0.43,0.6272,0.61,0.4003,0.25,0.8246,-0.84,2.99,0,-2.9949
8796,1789642800,EF,DOWN,120.5,0.43,0.43,0.6272,0.61,0.4003,0.25,0.8193,-0.84,2.99,0,-2.9949
8796,1789643700,EF,DOWN,76.6,0.31,0.31,0.5098,0.735,0.5651,0.25,0.8261,-3.31,3,1,16.1417
8796,1789643700,REVERSAL,DOWN,76.3,,0.22,0.703,,,0,,,3,1,16.1417
8795,1789644000,EF,DOWN,96.3,0.51,0.51,0.6272,0.495,0.1876,0.15,0.1571,-0.63,3,0,-2.9995
8796,1789644000,EF,DOWN,96.3,0.51,0.51,0.6272,0.495,0.1876,0.15,0.157,-0.63,3,0,-2.9995
8795,1789644300,EF,UP,192.8,0.53,0.5332,0.6776,0.525,0.2365,0.15,0.0768,3.28,2.99,1,2.4445
8796,1789644300,EF,UP,111.5,0.28,0.28,0.5694,0.275,0.9312,0.25,0.6089,3.14,2.99,1,7.1849
8795,1789645200,EF,UP,144.3,0.45,0.45,0.623,0.445,0.3312,0.25,0.3834,0.84,2.99,0,-2.9909
8796,1789645200,EF,UP,144,0.4,0.4,0.5694,0.39,0.3638,0.25,0.2838,-0.15,2.99,0,-2.9905
8795,1789645500,EF,UP,57.1,0.47,0.47,0.5896,0.465,0.2079,0.15,0.1493,1.76,3,1,3.1517
8796,1789645500,EF,UP,57.1,0.47,0.47,0.5896,0.465,0.2079,0.15,0.1492,1.76,3,1,3.1517
8795,1789645800,EF,UP,67.4,0.37,0.37,0.623,0.36,0.6096,0.25,0.4437,3.15,2.8,1,4.4553
8796,1789645800,EF,UP,67.2,0.36,0.36,0.5694,0.355,0.5109,0.25,0.4438,3.15,3,1,4.9736
8795,1789646400,EF,UP,24,0.49,0.49,0.6776,0.485,0.3335,0.25,0.8629,-2.61,2.54,1,2.4625
8796,1789646400,EF,DOWN,159.5,0.21,0.21,0.5098,0.795,1.2934,0.25,0.7436,-2.61,3,0,-2.997
8795,1789646700,EF,UP,186.6,0.31,0.31,0.623,0.255,0.9127,0.25,0.9947,0.94,3,1,6.2277
8796,1789646700,EF,UP,187,0.36,0.36,0.623,0.33,0.6531,0.25,1.1458,0.94,3,1,4.9736
8795,1789647000,EF,DOWN,56.4,0.37,0.37,0.5098,0.635,0.3171,0.25,0.4045,-1.54,3,0,-2.9966
8796,1789647000,EF,DOWN,56.5,0.38,0.3833,0.5098,0.625,0.2834,0.25,0.4046,-1.55,2.99,0,-2.9939
8795,1789647600,EF,UP,89.2,0.54,0.54,0.7167,0.535,0.2844,0.25,0.7803,1.29,2.99,1,2.377
8796,1789647600,EF,DOWN,146.8,0.47,0.47,0.6272,0.535,0.2849,0.25,0.5915,-3.19,3,0,-2.9972
8795,1789648200,EF,UP,21.7,0.44,0.44,0.5896,0.435,0.2874,0.25,1.1422,-0.98,2.99,1,3.5526
8796,1789648200,EF,UP,21.8,0.45,0.45,0.623,0.435,0.3312,0.25,1.155,-0.98,2.99,1,3.4091
8795,1789648500,EF,UP,17.9,0.51,0.51,0.6776,0.505,0.2831,0.25,0.7005,-3.86,3,0,-2.9995
8796,1789648500,EF,DOWN,157.4,0.48,0.48,0.6416,0.525,0.2879,0.25,0.7192,-5.88,3,1,3.0256
8795,1789649100,EF,UP,93.3,0.38,0.38,0.5314,0.375,0.3377,0.25,0.2832,1.89,2.99,0,-2.9946
8796,1789649100,EF,UP,93.4,0.39,0.39,0.5694,0.385,0.3977,0.25,0.2832,1.89,2.99,0,-2.9926
8795,1789649700,EF,UP,213.2,0.46,0.46,0.5694,0.455,0.1911,0.15,0.1446,0.67,3,0,-2.9992
8796,1789649700,EF,UP,215.6,0.51,0.51,0.623,0.505,0.1797,0.15,0.1624,0.67,3,0,-2.9995
8796,1789650000,EF,UP,19.2,0.39,0.39,0.5314,0.385,0.3044,0.25,0.6294,3.26,2.99,1,4.3664
8795,1789650600,EF,UP,108.2,0.42,0.42,0.623,0.41,0.4232,0.25,0.4584,3.18,3,0,-2.9969
8796,1789650600,EF,UP,108.5,0.41,0.41,0.6776,0.405,0.5845,0.25,0.6955,5.16,3,0,-2.9989
8795,1789651800,EF,UP,33.5,0.51,0.51,0.6776,0.505,0.2831,0.25,0.9797,3.66,3,0,-2.9995
8796,1789651800,EF,UP,31.8,0.46,0.46,0.623,0.455,0.3032,0.25,0.7342,2.79,3,0,-2.9992
8795,1789652100,EF,DOWN,24.9,0.43,0.43,0.6272,0.575,0.4003,0.25,0.8798,-2.88,2.99,1,3.7028
8796,1789652100,EF,DOWN,22.9,0.38,0.38,0.5098,0.625,0.2834,0.25,0.889,-2.1,2.99,1,4.5581
8795,1789652700,EF,UP,90.8,0.46,0.46,0.623,0.455,0.3032,0.25,0.7575,-1.31,3,1,3.2834
8796,1789652700,EF,UP,90.7,0.37,0.37,0.5314,0.365,0.3729,0.25,0.6887,-1.84,3,1,4.7602
8795,1789653000,EF,UP,97.2,0.47,0.47,0.623,0.465,0.2764,0.25,0.509,3.63,3,1,3.1517
8795,1789653300,EF,UP,22.8,0.42,0.42,0.5694,0.415,0.3007,0.25,0.7547,2.38,3,1,3.8602
8796,1789653300,EF,UP,22.6,0.42,0.4289,0.5694,0.415,0.3007,0.25,0.7843,2.38,3,1,3.7204
8795,1789653900,EF,UP,204.6,0.57,0.57,0.9284,0.565,0.5797,0.25,1.1624,13.84,3,1,2.1077
8796,1789653900,EF,UP,198,0.49,0.4915,0.7473,0.485,0.4707,0.25,0.8978,8.13,2.99,1,2.8871
8795,1789655100,EF,UP,92.8,0.53,0.53,0.7167,0.525,0.3077,0.25,0.6959,1.96,3,1,2.4763
8795,1789655400,EF,UP,42.9,0.39,0.39,0.5694,0.385,0.3977,0.25,0.9412,1.24,2.99,0,-2.9926
8796,1789655400,EF,UP,55.4,0.36,0.36,0.5314,0.35,0.41,0.25,0.8754,1.62,3,0,-2.9986
8795,1789656300,EF,DOWN,168.7,0.33,0.33,0.5098,0.675,0.4724,0.25,0.7473,1.32,2.99,0,-2.9941
8796,1789656300,EF,DOWN,168.7,0.34,0.34,0.5098,0.67,0.4301,0.25,0.7338,1.32,2.99,0,-2.9921
8795,1789656600,EF,DOWN,56.7,0.53,0.53,0.6975,0.475,0.2727,0.25,0.7053,-7.58,3,1,2.4763
8796,1789656600,EF,DOWN,56.8,0.53,0.53,0.6975,0.475,0.2727,0.25,0.7452,-7.58,3,1,2.4763
8795,1789656900,EF,DOWN,167.1,0.55,0.55,0.7346,0.455,0.2936,0.25,0.7573,-5.62,2.99,1,2.2814
8796,1789656900,EF,DOWN,173.2,0.57,0.57,0.8262,0.435,0.4058,0.25,0.7949,-7.87,3,1,2.1077
8795,1789657500,EF,UP,206.6,0.25,0.25,0.5314,0.245,1.014,0.25,0.8437,3.6,3,1,8.4004
8796,1789657500,EF,UP,168.8,0.36,0.36,0.5314,0.355,0.41,0.25,0.8239,2.07,1.88,1,3.1194
8796,1789658100,EF,UP,89.4,0.5,0.5,0.6776,0.495,0.3078,0.25,0.6948,0.69,2.99,1,2.7889
8795,1789658400,EF,UP,108.9,0.32,0.32,0.5694,0.315,0.6948,0.25,0.7341,3.37,3,0,-2.9961
8796,1789658400,EF,UP,106.9,0.36,0.36,0.5314,0.355,0.41,0.25,0.6933,1.33,3,0,-2.9986
8795,1789658700,EF,DOWN,72.6,0.38,0.38,0.5098,0.64,0.2834,0.25,0.6227,2.56,2.99,0,-2.9946
8796,1789658700,EF,DOWN,72.6,0.38,0.38,0.5098,0.625,0.2834,0.25,0.6227,2.56,2.99,0,-2.9946
8795,1789659900,EF,UP,36.6,0.41,0.41,0.5694,0.405,0.3315,0.25,0.3415,-1.62,3,0,-2.9989
8796,1789659900,EF,UP,36.7,0.41,0.41,0.5694,0.405,0.3315,0.25,0.3798,-1.38,3,0,-2.9989
8795,1789660200,EF,UP,44.8,0.37,0.3761,0.5314,0.365,0.3729,0.25,0.7816,1.33,3,1,4.6362
8796,1789660200,EF,UP,45,0.36,0.36,0.5314,0.355,0.41,0.25,0.7811,1.33,3,1,4.9736
8795,1789660500,EF,UP,152.6,0.41,0.41,0.5694,0.405,0.3315,0.25,0.5001,-0.37,3,1,4.0255
8796,1789660500,EF,UP,179.8,0.41,0.41,0.5896,0.405,0.3786,0.25,0.5694,0.54,3,1,4.0255
8796,1789660800,EF,UP,95.2,0.51,0.51,0.6776,0.505,0.2831,0.25,0.4945,-0.98,3,1,2.6868
8795,1789662000,EF,UP,114.1,0.38,0.38,0.5694,0.375,0.4335,0.25,0.2746,-0.12,2.99,1,4.5581
8796,1789662000,EF,UP,114.1,0.37,0.37,0.5694,0.365,0.4711,0.25,0.2728,-0.14,3,1,4.7602
8795,1789662600,EF,UP,71.6,0.42,0.42,0.5896,0.405,0.3468,0.25,0.5146,0.37,3,0,-2.9969
8796,1789662600,EF,UP,71.4,0.34,0.34,0.5314,0.335,0.4907,0.25,0.5157,0.37,2.99,0,-2.9921
8795,1789662900,EF,DOWN,158.8,0.29,0.29,0.5098,0.715,0.6706,0.25,0.4038,-1.41,2.99,0,-2.9916
8796,1789662900,EF,DOWN,160.2,0.29,0.29,0.5402,0.72,0.7701,0.25,0.4532,-2,2.99,0,-2.9916
8795,1789663200,EF,UP,21.8,0.39,0.39,0.5314,0.385,0.3044,0.25,0.4815,0.38,2.99,1,4.3664
8796,1789663200,EF,UP,21.9,0.42,0.4211,0.5694,0.415,0.3007,0.25,0.4848,0.43,3,1,3.8426
8795,1789663500,EF,DOWN,143.5,0.36,0.36,0.5098,0.68,0.3527,0.25,0.8079,-1.74,3,1,4.9736
8796,1789663500,EF,DOWN,144.3,0.33,0.33,0.5098,0.73,0.4724,0.25,0.9514,-2.79,2.99,1,11.3451
8796,1789663500,REVERSAL,DOWN,144.3,,0.33,0.7092,,,0,,,2.99,1,11.3451
8795,1789664100,EF,UP,221.7,0.19,0.19,0.5314,0.185,1.6383,0.25,0.5591,5.24,2.99,1,11.9043
8796,1789664100,EF,UP,212.1,0.29,0.2903,0.5314,0.285,0.7413,0.25,0.4796,2.35,2.99,1,6.8244
8795,1789664700,EF,UP,98.8,0.54,0.54,0.7167,0.535,0.2844,0.25,0.4805,-0.69,2.99,1,2.377
8795,1789665300,EF,UP,23.4,0.54,0.54,0.6776,0.535,0.2144,0.15,0.0833,0.65,2.99,1,2.377
8796,1789665300,EF,UP,23.4,0.54,0.54,0.6776,0.535,0.2144,0.15,0.0833,0.65,2.99,1,2.377
8795,1789665900,EF,UP,41.7,0.35,0.35,0.5314,0.345,0.4492,0.15,0.0945,0.93,2.99,0,-2.9901
8796,1789665900,EF,UP,42.1,0.39,0.39,0.5314,0.365,0.3044,0.15,0.0858,0.93,2.99,0,-2.9926
8795,1789666200,EF,DOWN,156.9,0.44,0.44,0.5943,0.565,0.2978,0.25,0.4191,-4.28,2.99,0,-2.9929
8796,1789666200,EF,DOWN,157,0.44,0.44,0.5943,0.565,0.2978,0.25,0.4191,-4.28,2.99,0,-2.9929
8795,1789666800,EF,UP,31.4,0.45,0.45,0.623,0.445,0.3312,0.25,0.5128,4.4,2.99,0,-2.9909
8796,1789666800,EF,UP,32.2,0.44,0.44,0.623,0.435,0.3605,0.25,0.4578,4.43,2.99,0,-2.9929
8795,1789667400,EF,DOWN,170.6,0.5,0.5,0.6272,0.505,0.2104,0.15,0.1003,-3.65,2.99,0,-2.9912
8796,1789667400,EF,DOWN,170.5,0.5,0.5,0.6272,0.505,0.2104,0.15,0.1003,-3.65,2.99,0,-2.9912
8795,1789668000,EF,UP,27.1,0.49,0.49,0.623,0.485,0.2261,0.15,0.1515,0.54,2.99,1,2.9048
8796,1789668000,EF,UP,27,0.49,0.49,0.623,0.485,0.2261,0.15,0.1515,0.54,2.99,1,2.9048
8795,1789668300,EF,UP,165.3,0.44,0.44,0.5896,0.43,0.2874,0.25,0.4292,0.3,2.99,0,-2.9929
8796,1789668300,EF,UP,165.4,0.45,0.45,0.6024,0.445,0.2871,0.25,0.4328,0.3,2.99,0,-2.9909
8795,1789668600,EF,UP,71.4,0.49,0.49,0.623,0.485,0.2261,0.15,0.0334,0,2.99,1,2.9048
8796,1789668600,EF,UP,71.4,0.49,0.49,0.623,0.485,0.2261,0.15,0.0334,0,2.99,1,2.9048
8795,1789668900,EF,UP,24.6,0.56,0.56,0.6776,0.555,0.1728,0.15,0.0742,0.78,3,1,2.1968
8796,1789668900,EF,UP,15.2,0.5,0.5,0.623,0.495,0.2024,0.15,0.1003,0.78,2.99,1,2.7889
8795,1789669200,EF,DOWN,209.7,0.31,0.31,0.5098,0.695,0.5651,0.25,0.2376,-1.51,3,0,-2.9981
