epoch,sec,kind,direction,quote,correct,actual
1790020200,187.4,MAIN,DOWN,0.69,1,DOWN
1790020800,15.3,EF,DOWN,0.27,0,UP
1790020800,61.1,MAIN,UP,0.74,1,UP
1790021100,54.9,EF,UP,0.46,1,UP
1790021400,26.8,EF,DOWN,0.45,0,UP
1790021400,110.1,MAIN,UP,0.85,1,UP
1790021700,17.2,EF,DOWN,0.57,0,UP
1790022000,15.1,EF,UP,0.43,0,DOWN
1790022300,15.7,EF,DOWN,0.59,0,UP
1790022600,15.6,EF,DOWN,0.67,1,DOWN
1790022900,63.0,EF,DOWN,0.63,1,DOWN
1790023200,15.4,EF,DOWN,0.56,0,UP
1790023500,15.4,EF,UP,0.57,0,DOWN
1790023500,163.8,MAIN,DOWN,0.66,1,DOWN
1790023800,21.0,EF,DOWN,0.42,0,UP
1790024100,16.2,EF,DOWN,0.47,0,UP
1790024700,15.3,EF,DOWN,0.64,1,DOWN
1790025000,15.2,EF,DOWN,0.56,1,DOWN
1790025300,16.3,EF,DOWN,0.51,0,UP
1790025600,15.8,EF,DOWN,0.6,0,UP
1790025900,43.0,EF,UP,0.42,0,DOWN
1790026500,15.4,EF,UP,0.44,0,DOWN
1790026500,79.3,MAIN,DOWN,0.77,1,DOWN
1790026800,56.8,EF,DOWN,0.6,1,DOWN
1790026800,15.8,MAIN,DOWN,0.67,1,DOWN
1790026800,121.6,REVERSAL,UP,0.7117906375305478,0,DOWN
1790027100,22.4,EF,DOWN,0.5,1,DOWN
1790027100,64.0,MAIN,DOWN,0.65,1,DOWN
1790027400,15.3,EF,DOWN,0.49,1,DOWN
1790027700,21.4,EF,DOWN,0.5,1,DOWN
1790028000,41.3,EF,DOWN,0.32,0,UP
1790028000,24.0,MAIN,UP,0.72,1,UP
1790028300,26.4,MAIN,DOWN,0.76,1,DOWN
1790028600,15.2,EF,DOWN,0.52,0,UP
1790028600,210.6,MAIN,UP,0.89,1,UP
1790028900,15.1,EF,DOWN,0.47,0,UP
1790028900,167.3,MAIN,UP,0.94,1,UP
1790029200,16.9,EF,DOWN,0.56,1,DOWN
1790029200,105.1,MAIN,DOWN,0.71,1,DOWN
1790029500,24.4,EF,DOWN,0.54,1,DOWN
1790029500,105.6,MAIN,DOWN,0.74,1,DOWN
1790029800,16.9,EF,UP,0.51,1,UP
1790029800,256.2,MAIN,UP,0.98,1,UP
1790030100,15.4,EF,UP,0.37,0,DOWN
1790030100,26.0,MAIN,DOWN,0.65,1,DOWN
1790030100,156.9,REVERSAL,UP,0.6975237740937943,0,DOWN
1790030400,51.2,EF,DOWN,0.58,1,DOWN
1790030400,225.1,MAIN,DOWN,0.96,1,DOWN
1790030700,122.6,EF,DOWN,0.72,1,DOWN
1790030700,77.0,MAIN,DOWN,0.75,1,DOWN
1790031000,68.6,EF,DOWN,0.42,0,UP
1790031000,32.7,MAIN,UP,0.7,1,UP
1790031000,75.3,REVERSAL,DOWN,0.64,0,UP
1790031300,15.1,EF,UP,0.53,1,UP
1790031300,260.1,MAIN,UP,0.96,1,UP
1790031600,35.7,EF,UP,0.43,1,UP
1790031600,77.2,MAIN,UP,0.68,1,UP
1790031900,23.1,EF,UP,0.51,0,DOWN
1790031900,242.4,MAIN,UP,0.83,0,DOWN
1790031900,264.1,REVERSAL,DOWN,0.7032881189047262,1,DOWN
1790032200,15.0,EF,DOWN,0.54,0,UP
1790032200,173.4,MAIN,UP,0.95,1,UP
1790032500,20.0,EF,DOWN,0.31,1,DOWN
1790032800,17.4,EF,DOWN,0.57,1,DOWN
1790033100,67.2,EF,DOWN,0.62,1,DOWN
1790033100,282.0,MAIN,DOWN,0.99,1,DOWN
1790033400,15.1,EF,DOWN,0.57,1,DOWN
1790033400,177.6,MAIN,DOWN,0.81,1,DOWN
1790033700,87.2,EF,DOWN,0.61,0,UP
1790033700,14.0,MAIN,DOWN,0.71,0,UP
1790033700,130.7,REVERSAL,UP,0.76,1,UP
1790034000,15.1,MAIN,UP,0.75,1,UP
