day,offset,markets,trades,win,avg_vwap,pnl100_f0,pnl100_f7,fixed5_f0,hybrid_f0,hybrid_f7,p1s,p5s,p100,hybrid_end_f0,maxdd
2026-08-21,30,19,15,60.0,0.6146666666666667,-2.7132182756995737,-5.323292996400605,-2.034913706774681,-2.1362154005858756,-4.052901544442861,-15.785113700536176,-17.913775996937147,-2.8249901102674224,47.863784599414124,11.624590930341284
2026-08-21,60,19,15,46.666666666666664,0.6335511551155115,-28.000869242539743,-29.774141728895295,-21.000651931904812,-18.441874115380063,-19.447537143448493,-22.85807418843544,-20.795180989419503,-28.461968624519827,31.558125884619937,18.441874115380063
2026-08-21,90,19,14,71.42857142857143,0.7193283263250209,-2.021423113922659,-3.879923495948074,-1.414996179745856,-1.515661985926677,-2.813096607607875,-2.948976531728843,-3.9635712015920865,-2.563505523135629,48.48433801407332,11.38483614534158
2026-08-21,120,19,14,78.57142857142857,0.7614285714285715,3.4735706681292524,1.7304207213602072,2.431499467690486,2.3419085638588513,1.0936486615556689,11.433076104139193,12.319511555103949,3.2205963383815353,52.34190856385885,7.031459170013385
2026-08-21,180,16,13,84.61538461538461,0.8446153846153847,-0.048329959274696375,-1.1218699390485443,-0.031414473528535325,-0.11593510136393093,-0.8143303047032617,-0.21881550210066403,1.862002089132888,-0.47659445347199697,49.88406489863607,5.2362817362817395
2026-08-21,240,11,8,87.5,0.7801361386138613,10.616789294053824,8.998614043470054,4.246715717621534,3.7659285693580884,3.124417419212996,10.616789294053824,16.904047118196893,10.058441033057491,53.76592856935809,5.9168246750968265
2026-08-22,30,15,14,78.57142857142857,0.6411049648451254,19.021500464436958,16.189995431926363,13.31505032510588,13.225779330078382,10.95373284945196,18.298383062571077,16.393898138641024,18.220351669900143,63.22577933007838,11.367964874265837
2026-08-22,60,15,14,78.57142857142857,0.6734406686150157,15.923752513299478,13.309089837368516,11.14662675930964,9.4723359467597,7.54614149504404,15.86112357136019,17.74110179467001,15.80601108004102,59.4723359467597,17.792977506595044
2026-08-22,90,15,15,73.33333333333333,0.7094829668811432,2.6762774112320997,0.6222713257791891,2.0072080584240837,-1.4114681898892911,-2.74544110177618,1.6673983264973231,3.654102461832586,1.8136092981015928,48.58853181011071,22.898277863256197
2026-08-22,120,15,15,66.66666666666666,0.7533333333333333,-11.070069827904534,-12.628498273284546,-8.302552370928382,-10.587608270519354,-11.55230480461347,-11.151469909304616,-10.970211936989957,-11.743287410646218,39.412391729480646,23.86250190345281
2026-08-22,180,15,14,71.42857142857143,0.812857142857143,-10.542669797333868,-11.8046829115205,-7.379868858133712,-11.447238996182179,-12.086338238734193,-9.86967332601807,-9.7012353061686,-11.284322160637318,38.55276100381782,22.378229053289054
2026-08-22,240,11,9,77.77777777777779,0.7600000000000001,2.764696652596394,1.01561233135909,1.2441134936683795,1.156136592219795,0.33698996471755294,1.916319206001201,-5.971786581938051,1.6539477238963345,51.156136592219795,10.0
2026-08-23,30,56,51,56.86274509803921,0.6198039215686274,-9.71130314974223,-12.051119772397527,-24.763823031842676,-24.053564944899268,-27.083826768523167,-10.431170168766853,-15.917103819691995,-10.032872122611822,25.946435055100732,32.07356598243005
