date,offset,markets,trades,win,avg_fill,pnl100_f7,pnl100_f0,fixed2_f7,fixed5_f7,fixed10_f7,hybrid_f7,hybrid_end_f7,hybrid_maxdd_f7,hybrid_f0,hybrid_end_f0,p1s_f7,p5s_f7,p100_f7,worst1h,worst3h,asia,london,us,hyb_start,hyb_end,hyb_pnl,hyb_ret_pct,hyb_trades,hyb_wins,hyb_losses,hyb_acc,hyb_start_stake,hyb_end_stake,hyb_min_stake,hyb_max_stake,hyb_recalc_3w,hyb_recalc_2l,hyb_maxdd,hyb_lowest_capital,hyb_max_win_streak,hyb_max_loss_streak,hyb_below_min_order,hyb_skipped_unexecutable,hyb_bankrupt
2026-08-22,30,284,282,67.02127659574468,0.6302154066166666,3.590363182362844,6.342875075979261,20.24964834852642,50.62412087131601,101.24824174263208,12.791734781069877,62.79173478106988,99.81839117242528,79.05862499350266,129.05862499350266,3.2574920947908237,3.3677720077250037,3.5982469332770153,-3.3194513330293343,-3.0088824112198207,9.66387283917423,-0.8412766927364705,1.302228027825457,50.0,62.79173478106988,12.791734781069877,25.583469562139754,282,189,93,67.02127659574468,5.0,7.1968576526283705,4.472750573680732,14.45458969092326,40,21,99.81839117242528,44.727505736807316,3,2,0,0,False
2026-08-22,60,284,281,69.3950177935943,0.6715176444192171,0.38882212075403333,2.7216891131208967,2.1851803186376983,5.462950796594214,10.925901593188314,-20.675074776114307,29.324925223885693,49.98225466464092,5.683815060018482,55.68381506001848,1.2093557938908246,1.8652249090004434,0.3919828648196531,-3.0851300443225336,-6.946790547117454,-2.8515437807253825,3.7340093457539725,0.21012459429024588,50.0,29.324925223885693,-20.675074776114307,-41.350149552228615,281,195,86,69.3950177935943,5.0,3.171216909782067,2.8624733844538106,7.574451512472521,39,19,49.98225466464092,25.762260460084295,3,2,28,0,False
2026-08-22,90,284,282,71.98581560283688,0.7190123484840426,-3.4297530910300873,-1.5793120249770638,-19.343807433409623,-48.359518583524206,-96.71903716704846,-39.80165875278696,10.198341247213035,42.709822891765924,-32.79469141450517,17.205308585494834,-2.6960982250046333,-3.1533847773922647,-3.4600530599262744,-5.110443298594571,-8.901095941585535,-3.984468863594631,-0.8007360427864749,-4.886698810323741,50.0,10.198341247213035,-39.80165875278696,-79.60331750557393,282,203,79,71.98581560283688,5.0,0.9361833340108157,0.8425122667414634,5.0,42,17,42.709822891765924,8.425122667414634,3,2,186,0,False
2026-08-22,120,284,282,74.822695035461,0.7484402669156028,-2.674152572023081,-0.9803669080702708,-15.082220506210184,-37.70555126552546,-75.411102531051,-36.90810184226405,13.091898157735946,57.80116355315515,-28.864957881119675,21.135042118880325,-2.2933364892943584,-1.9311862316093404,-2.6847656454935427,-3.988135114386668,-5.851228400543839,-1.0202506343150064,-0.6724068122994085,-5.848452806490676,50.0,13.091898157735946,-36.90810184226405,-73.8162036845281,282,211,71,74.822695035461,5.0,1.223361327576659,1.1345764410485157,6.785442372579055,46,17,57.80116355315515,11.345764410485156,3,2,140,1,False
2026-08-22,180,284,268,81.34328358208955,0.8057603824727612,-0.697784003828911,0.6539635972309894,-3.7401222605229947,-9.350305651307394,-18.700611302614803,-20.86341939359803,29.13658060640197,39.86579001634542,-8.355947428473655,41.644052571526345,-1.2019437131232311,-1.2580358516972747,-0.703915764743811,-2.4583659503296693,-4.105388416690869,-1.6600368698269872,5.7090948545642135,-5.919119114998709,50.0,29.13658060640197,-20.86341939359803,-41.72683878719606,268,218,50,81.34328358208955,5.0,2.913658060640197,3.5139549825534946,6.768896858481873,58,8,39.86579001634542,29.13658060640197,3,2,35,15,False
2026-08-22,240,284,174,85.0574712643678,0.8636388151775863,-2.0741615067562664,-1.1055747260881827,-7.218082043511828,-18.045205108779463,-36.353157229020105,-21.043214588774386,28.956785411225614,30.47812018879427,-15.886600152669835,34.113399847330165,-3.303292518358907,-6.08385392345134,-2.21762442809057,-1.5832636390150316,-2.0622839587828636,-1.0939632960484846,-1.0065064615466341,-1.5085712641607842,50.0,28.956785411225614,-21.043214588774386,-42.08642917754877,173,147,26,84.97109826589596,5.0,3.4197748307449602,2.8025416105895324,5.720351231836987,43,3,30.47812018879427,26.88769869390255,3,2,107,110,False
2026-08-24,30,288,288,62.15277777777778,0.6422996227475694,-6.3794381871096775,-4.010895302746368,-36.74556395775173,-91.86390989437935,-183.72781978875895,-47.3453748398202,2.6546251601797985,54.11439931861935,-44.802601029385094,5.197398970614907,-6.8513105998643535,-5.431851911428751,-6.379438187109678,-5.988561336935181,-9.519075233457341,-15.16626669297837,-1.3648721982237542,-1.8416430876737508,50.0,2.6546251601797985,-47.3453748398202,-94.69074967964042,288,179,109,62.15277777777778,5.0,0.2910783169837298,0.11791648018580676,5.41130968260099,38,32,54.11439931861935,1.1791648018580676,3,2,255,0,False
2026-08-24,60,288,287,65.85365853658537,0.6840645769958188,-5.463488220138712,-3.3045637824727816,-31.360422383596173,-78.40105595899051,-156.80211191798122,-45.56300898168227,4.436991018317725,48.19414515703848,-41.93883407852649,8.06116592147351,-5.583278042303612,-6.862551236415844,-5.4634882201387125,-6.1869327165483465,-8.713965915043394,-11.507474878678927,-9.735949840666013,5.5632135275468375,50.0,4.436991018317725,-45.56300898168227,-91.12601796336453,287,189,98,65.85365853658537,5.0,0.42948698697951415,0.18058548429615245,5.0,43,28,48.19414515703848,1.8058548429615244,3,2,270,0,False
2026-08-24,90,288,288,69.09722222222221,0.7340691508638889,-8.198111706181821,-6.489158345954168,-47.221123427607274,-118.05280856901825,-236.10561713803645,-47.727963850844354,2.2720361491556456,49.98399727076594,-46.279861700417094,3.7201382995829078,-8.123734694353756,-7.899098265135665,-8.198852455371147,-6.6074980985113285,-8.062383430097748,-12.209648975373895,-10.536240769014887,-0.864671969414861,50.0,2.2720361491556456,-47.727963850844354,-95.45592770168871,288,199,89,69.09722222222223,5.0,0.24075580596211418,0.21324930723661584,5.0,43,25,49.98399727076594,2.0088598720911985,3,2,276,0,False
2026-08-24,120,288,288,72.91666666666666,0.7643445010635417,-6.33754501646714,-4.7760340678858135,-36.50425929485071,-91.26064823712682,-182.52129647425375,-45.91920167621109,4.0807983237889145,50.428119053543156,-43.62303378925128,6.376966210748719,-6.54507802924622,-6.843946850587364,-6.337545048995532,-5.01535274967803,-6.848190834291572,-4.8048285707690725,-6.8649650333942684,-6.582336043262021,50.0,4.0807983237889145,-45.91920167621109,-91.83840335242218,288,210,78,72.91666666666667,5.0,0.40807983237889145,0.3593841202671768,5.364643515647318,47,19,50.428119053543156,3.5938412026717677,3,2,242,0,False
2026-08-24,180,288,263,80.98859315589354,0.8126487772254753,-1.2353527939551383,0.10262976895947933,-6.497955696204009,-16.244889240510076,-32.583717874959504,-23.99335497233765,26.00664502766235,38.883580198574265,-13.011826488607596,36.988173511392404,-1.618734582225717,0.4298491138994159,-1.2744409152984852,-2.688003020548686,-4.3966639667135965,-4.0503490975566265,-4.372288755026206,5.173660004480818,50.0,26.00664502766235,-23.99335497233765,-47.9867099446753,263,213,50,80.98859315589354,5.0,2.4417391292341266,1.2750203585209523,5.0,54,10,38.883580198574265,12.750203585209523,3,2,242,25,False
2026-08-24,240,288,165,81.81818181818183,0.8536101157412121,-6.764254513435235,-5.904868000761248,-22.322039894336296,-55.80509973584064,-111.61950878099069,-37.95444479633733,12.045555203662675,38.50997296179242,-36.10395503384678,13.896044966153218,-7.039326260814376,-5.656047692869038,-6.950516053215228,-3.8230743583946687,-4.042018727236991,-2.7434135458617384,-4.683634336249778,-3.733972065056622,50.0,12.045555203662675,-37.95444479633733,-75.90888959267465,165,135,30,81.81818181818181,5.0,1.2045555203662675,1.1889472719861836,5.0,36,6,38.50997296179242,11.49002703820758,3,2,149,123,False
2026-08-27,30,288,285,64.91228070175438,0.6465132627463159,-1.2254887948426765,1.3232812430478658,-6.9852861306032565,-17.46321532650814,-34.926430653016354,-35.62327162144736,14.376728378552642,43.85679975318349,-21.700199669798675,28.299800330201325,-1.1455013735555555,0.6667034584850137,-1.2021259197534127,-7.908630091401071,-9.693110018565696,-3.063961406212845,-4.399565462163414,3.9708838030746314,50.0,14.376728378552642,-35.62327162144736,-71.24654324289472,285,185,100,64.91228070175438,5.0,1.4376728378552643,0.761162317603281,5.0,41,27,43.85679975318349,7.6116231760328095,3,2,266,0,False
2026-08-27,60,288,287,67.94425087108013,0.68691278798223,-2.512949238410386,-0.28929763374838396,-14.424328628475585,-36.06082157118905,-72.12164314237805,-39.44849792734419,10.551502072655808,66.65106062784515,-30.571556712194287,19.428443287805713,-2.4863046490762617,-3.1252945354960926,-2.5130585731602375,-5.054540459208993,-7.2263336965192115,6.075061979500299,-15.623806646930193,2.3365803531920846,50.0,10.551502072655808,-39.44849792734419,-78.89699585468838,287,195,92,67.94425087108014,5.0,1.0674480982269938,0.5159757651460265,7.1414806879555845,47,25,66.65106062784515,4.763746251710689,3,2,190,0,False
2026-08-27,90,288,285,70.52631578947368,0.7205493743505264,-3.615717618441517,-1.6694190577469623,-20.60959042511663,-51.52397606279162,-103.04795212558317,-41.20807444700779,8.79192555299221,45.23259533019572,-34.87539166577599,15.124608334224005,-3.8444490649260166,-3.7768459611319964,-3.619387556123431,-4.270828855694488,-5.632279243531671,-3.4908960724695994,-8.20313607684768,1.3892369367589563,50.0,8.79192555299221,-41.20807444700779,-82.41614889401556,285,201,84,70.52631578947368,5.0,0.879192555299221,0.5858148051286973,5.0,50,21,45.23259533019572,5.858148051286973,3,2,261,0,False
2026-08-27,120,288,285,74.73684210526315,0.7581509268936842,-3.669799831920133,-2.0444933110629604,-20.917859041944777,-52.29464760486187,-104.58929520972374,-38.34527272045045,11.654727279549551,42.20636683089096,-31.505185662016885,18.494814337983115,-3.8596969961795966,-3.4216639261802664,-3.6642485202138415,-3.5254430736406275,-4.94109816939711,-1.033543140994821,-9.188448329745203,-0.23693805023235437,50.0,11.654727279549551,-38.34527272045045,-76.6905454409009,285,213,72,74.73684210526316,5.0,1.165472727954955,1.0612164524629322,5.0,51,14,42.20636683089096,9.786490311966185,3,2,241,2,False
2026-08-27,180,288,269,81.04089219330855,0.8134255938197026,-1.6439935754851158,-0.3407054075448525,-8.844685436109948,-22.111713590274757,-44.22342718054955,-30.057317617228456,19.942682382771544,53.77232493142019,-21.95260582338677,28.04739417661323,-1.7695737155245417,-2.3587928714283533,-1.6536330495796345,-3.289396416343709,-5.828018322268935,2.335957262995112,1.1639354895844218,-7.922235470634497,50.0,19.942682382771544,-30.057317617228456,-60.11463523445691,269,218,51,81.04089219330855,5.0,1.9942682382771544,1.7733996462354527,6.767266334038938,56,8,53.77232493142019,16.47951645247043,3,2,112,19,False
2026-08-27,240,288,168,88.09523809523809,0.857909541104762,0.8167044492525726,1.7742341748235577,2.74412694948861,6.860317373721614,13.532755959564412,0.3668822104987868,50.36688221049879,38.31932856866833,9.360903387984251,59.36090338798425,0.34341937518562277,-1.6835237937832284,0.8208771401296906,-1.57857347772697,-3.1442629316142705,0.9728453047722638,3.578229758080309,-3.17901158810825,50.0,50.36688221049879,0.3668822104987868,0.7337644209975736,166,146,20,87.95180722891567,5.0,5.036688221049879,4.107042571792872,8.21133324369294,43,1,38.31932856866833,39.51817418844612,3,2,11,122,False
2026-08-31,30,225,224,59.375,0.6462478567763392,-10.046282617851546,-7.744658728872631,-45.00734612797492,-112.51836531993732,-225.03673063987475,-47.89171801228165,2.108281987718351,48.67553027484543,-46.490545822704085,3.5094541772959165,-10.601546616138817,-7.827618726860863,-10.046282617851547,-7.031548456723805,-8.916067777825408,-11.320975802500321,-7.43715775460232,-3.745539506884824,50.0,2.108281987718351,-47.89171801228165,-95.7834360245633,224,133,91,59.375,5.0,0.19196383321781457,0.13940657782373453,5.0,26,28,48.67553027484543,1.3244697251545732,3,2,208,0,False
2026-08-31,60,225,222,68.91891891891892,0.6834326412459459,0.1925542279618101,2.5464837673521354,0.854940772150421,2.1373519303761555,4.274703860752211,-21.13395101257985,28.86604898742015,36.87735488466433,-2.093535784414371,47.90646421558563,0.9375013101407453,0.26945645936762697,0.19378677473737077,-3.8718636718816075,-4.425019163612718,-4.250223100841167,2.8183938520401233,1.859299634876264,50.0,28.86604898742015,-21.13395101257985,-42.2679020251597,222,153,69,68.91891891891892,5.0,2.7355611997283003,1.8093121255665179,5.6661130731429115,33,16,36.87735488466433,18.093121255665178,3,2,142,0,False
2026-08-31,90,225,225,68.44444444444444,0.7208630038520001,-7.32570864384553,-5.501956725759832,-32.96568889730487,-82.41422224326223,-164.82844448652446,-44.706742800137974,5.293257199862025,54.67043432017069,-41.93027194956305,8.069728050436954,-7.345335004607245,-6.83288746327492,-7.349523273152945,-5.2499941784813124,-7.99462390731523,-1.002797899051153,-6.363881843585111,-9.116164706016178,50.0,5.293257199862025,-44.706742800137974,-89.41348560027595,225,154,71,68.44444444444444,5.0,0.5194314854283116,0.36819994979264137,5.779201279320048,33,15,54.67043432017069,3.1215784730297784,3,2,171,0,False
2026-08-31,120,225,223,73.09417040358744,0.7600788771596413,-6.96976647755957,-5.469202586893214,-31.085158489915667,-77.7128962247892,-155.4257924495784,-42.96559836335434,7.034401636645659,51.83908989256977,-40.02535696292213,9.97464303707787,-6.09193782772962,-6.602629755608127,-6.96976647755957,-3.7173794426970366,-5.399408737290112,-5.850027523046234,-6.107957165627499,-3.584594556284107,50.0,7.034401636645659,-42.96559836335434,-85.93119672670868,223,163,60,73.09417040358744,5.0,0.6893669872633332,0.613298511335281,5.498884354592159,39,11,51.83908989256977,5.261625627451758,3,2,195,1,False
2026-08-31,180,225,210,80.0,0.8205048851080952,-4.1601023423752705,-2.967851981048677,-17.472429837976165,-43.68107459494035,-87.46092275661135,-37.283127028318596,12.716872971681402,55.27328877933323,-33.69175258677495,16.308247413225047,-3.4623825037689517,-4.121595016664422,-4.234241620506769,-5.616615899402861,-6.168375104325511,1.786860089136742,-1.6891271706614994,-8.83394783746331,50.0,12.716872971681402,-37.283127028318596,-74.56625405663719,210,168,42,80.0,5.0,1.340335787207355,1.1277598966332771,6.6550887745666,44,4,55.27328877933323,11.277598966332771,3,2,73,15,False
2026-08-31,240,225,133,89.47368421052632,0.876099797150376,0.18154509349013376,0.9875131169390253,0.4829099486837265,1.2072748717094228,2.3206103494794235,-3.9511478309043397,46.04885216909566,20.30028365189382,1.2882424474727046,51.288242447472705,-0.7118217040060939,-3.519043319042993,0.15652014410519016,-2.0518252250999747,-1.3886806382272605,1.1004998914385598,0.0939522058850395,-0.9529971229817216,50.0,46.04885216909566,-3.9511478309043397,-7.90229566180868,132,118,14,89.39393939393939,5.0,4.545872098506271,4.1797349249397575,6.09986899796009,33,1,20.30028365189382,41.79734924939757,3,2,12,92,False
2026-09-05,30,288,287,65.50522648083623,0.6380257669076655,-0.37618050441410666,2.191885636481026,-2.1592760953369634,-5.3981902383424725,-10.796380476684838,-30.840094555625175,19.159905444374825,66.61794760123631,-11.375619402286866,38.624380597713134,-0.5336731500472722,-1.0687321995850534,-0.3554659225609324,-5.9278773437331065,-7.483928984551095,1.5237963338921345,-0.038005263556071034,-2.5654291180045536,50.0,19.159905444374825,-30.840094555625175,-61.68018911125035,287,188,99,65.50522648083624,5.0,2.061743502652688,2.061743502652688,8.444540762601543,40,26,66.61794760123631,17.827460024779114,3,2,69,0,False
2026-09-05,60,288,286,68.18181818181817,0.6773625507188812,-2.184542612119449,0.04594636037986803,-14.495583741323294,-31.23895935330821,-62.47791870661637,-38.29620938243718,11.703790617562813,165.67117257023995,-26.65952130170213,23.34047869829787,-1.839843464591792,-0.19497926491338774,-2.070182969646129,-5.024776718600505,-12.999851173642208,7.166027457625094,-4.828546237786368,-8.585273090500351,50.0,11.703790617562813,-38.29620938243718,-76.59241876487437,286,195,91,68.18181818181819,5.0,1.1229325766392442,1.0432522238772446,17.610369480901237,44,24,165.67117257023995,10.432522238772446,3,2,66,1,False
2026-09-05,90,288,288,74.30555555555556,0.7154601003618055,3.4630115066423564,5.657658728767168,19.946946278259844,49.86736569564994,99.73473139129982,16.4674666609571,66.4674666609571,272.1922504095715,70.25036882450203,120.25036882450203,3.4566279500012946,3.244873378026049,3.5651517122292384,-4.200146759639407,-5.619827252505233,16.347496394131024,-4.755294852627273,-1.6187284023737671,50.0,66.4674666609571,16.4674666609571,32.9349333219142,288,214,74,74.30555555555556,5.0,7.173001664789772,5.0,33.173668608592614,56,18,272.1922504095715,47.50384841886462,3,2,0,0,False
2026-09-05,120,288,287,77.35191637630662,0.7493368642188153,3.159806228544894,5.102335572261752,18.137287751847623,45.343219379619185,90.6864387592386,14.251765677223005,64.251765677223,303.580087598351,58.68715339342863,108.68715339342863,4.277508325465824,4.810927261901518,3.1838745482112283,-3.9846381370107204,-5.1055362594304246,18.890937858590885,-3.9468940424568153,-5.875399940210222,50.0,64.251765677223,14.251765677223005,28.503531354446014,287,222,65,77.35191637630662,5.0,6.425176567722301,4.343486011692289,33.31014001114885,58,13,303.580087598351,39.30397631527659,3,2,1,0,False
2026-09-05,180,288,283,83.74558303886926,0.8210641464307419,1.8375520753349424,3.199313185606552,10.400544746395838,26.001361865989423,52.002723731979046,3.6233436195531254,53.623343619553125,34.99703294718364,27.909929731668896,77.9099297316689,1.4948542323859786,2.3362994509375863,1.5908785989980294,-3.7697126898840323,-1.1222385540423652,1.313791922973991,2.937302537934136,0.9491779122897583,50.0,53.623343619553125,3.6233436195531254,7.246687239106251,283,237,46,83.74558303886926,5.0,5.352176150078633,3.8147739277148727,7.233589416626561,65,7,34.99703294718364,37.33886121908196,3,2,20,4,False
2026-09-05,240,288,230,90.8695652173913,0.8876201458591306,2.2648211251266255,3.1225285590421907,10.41817717558245,26.0454429389563,51.80906769609429,21.041011792029963,71.04101179202996,42.03044679064024,36.0721333907525,86.0721333907525,3.7540316075460423,0.15659270447303605,2.318837943580946,-2.254152781883846,-4.169101483808612,2.5784532630551475,0.04176134540636389,2.588873979329727,50.0,71.04101179202996,21.041011792029963,42.082023584059925,227,206,21,90.7488986784141,5.0,6.921281762565376,4.289391770590486,8.105712363449173,62,1,42.03044679064024,41.22660617319356,3,2,15,61,False
