policy,fee,fires_per_100,acc,pnl_per_100,total,maxdd,worst_hr,worst_3h,asia,london,us,avg_q,n
P0 greedy,0.0,96.25,23.809523809523807,-19.033875998438173,-45.68130239625161,56.86302305062201,-9.435897435897436,-18.473397136632432,-6.136225589446829,-11.752888448210642,-27.792188358594153,0.2860894938174458,231
P1 runway,0.0,88.75,24.88262910798122,-15.632416841652933,-37.51780041996704,48.15406652888288,-9.435897435897436,-15.473397136632432,-4.136225589446829,-9.043931926471512,-24.3376429040487,0.29762730705793794,213
P2 persist2,0.0,92.5,21.17117117117117,-20.52638590807356,-49.26332617937655,63.52814338399274,-8.560975609756097,-18.458671861907156,-6.815986650968158,-13.608838593624219,-28.83850093478417,0.25626793523729313,222
P3 timebuffer,0.0,83.75,22.388059701492537,-20.64633226251605,-49.55119743003852,60.13947003291069,-11.0,-16.282298474945534,-4.546501973902419,-22.26619082911813,-22.738504627017974,0.2714150451195437,201
P4 floor.35,0.0,70.0,25.595238095238095,-15.618412601219807,-37.48419024292754,45.636585384101444,-9.435897435897436,-16.044825708061005,-5.136225589446829,-12.214081710021295,-20.133882943459415,0.319982914104077,168
P5 P2+P3+P4,0.0,47.083333333333336,24.778761061946902,-3.3484299374027073,-8.036231849766498,20.310985805978824,-6.0,-14.0,3.0462471688820094,-4.341324525190646,-6.741154493457861,0.28559488300893004,113
P6 P5+governor,0.0,2.0833333333333335,20.0,-0.8218259803921568,-1.9723823529411764,4.0,-1.9723823529411764,-1.9723823529411764,-1.9723823529411764,0.0,0.0,0.35005853952340704,5
P0 greedy,0.07,94.58333333333333,22.90748898678414,-20.01289619143908,-48.03095085945379,64.68351957519258,-9.540900964704552,-17.795262977975536,-5.430900671199654,-21.244191990341942,-21.35585819791219,0.27147099479311293,227
P1 runway,0.07,87.08333333333333,23.923444976076556,-17.855559030745816,-42.853341673789956,51.683519575192584,-9.540900964704552,-14.795262977975536,-6.09295929257814,-14.244191990341942,-22.516190390869877,0.2823444399582161,209
P2 persist2,0.07,90.41666666666667,18.89400921658986,-28.342239807623386,-68.02137553829613,81.747170956086,-12.0,-19.23266807589453,-8.910126032683717,-20.854187892251574,-38.257061613360825,0.24120618668778082,217
P3 timebuffer,0.07,82.91666666666667,20.603015075376884,-26.0333498938365,-62.480039745207606,72.7954092977233,-12.0,-16.735746506839522,-7.40533668504789,-25.083741761890973,-29.99096129826874,0.258384709514856,199
P4 floor.35,0.07,65.41666666666667,25.477707006369428,-14.791022044618796,-35.49845290708511,42.59891358935657,-8.540900964704552,-14.59573803735796,-6.09295929257814,-15.142156326626855,-14.263337287880114,0.30573317980370196,157
P5 P2+P3+P4,0.07,45.416666666666664,24.770642201834864,-4.81920931608873,-11.566102358612952,23.153485930406994,-6.0,-13.199524940617577,0.7757222699804416,-6.79174956128994,-5.550075067303453,0.27956423192328905,109
P6 P5+governor,0.07,2.0833333333333335,20.0,-0.878316576882389,-2.1079597845177336,4.0,-2.1079597845177336,-2.1079597845177336,-2.1079597845177336,0.0,0.0,0.3480585395234071,5
