R-27  EF parameters per volatility regime
  2076 graded Polymarket fires with a prior-6-candle vol reading
  buckets fixed FIRST: rv6 (bps) cut at the 33rd/67th pct = 4.05 / 8.56

  THE PLAIN ANSWER: what the CURRENT parameters already do per bucket
  bucket       n      W%    per $1      total   med ask
  LOW        685   57.4%    +0.200    +136.96     0.470
  MID        706   50.4%    +0.095     +66.94     0.450
  HIGH       685   51.7%    +0.114     +77.89     0.450

  FULL GRID per bucket. Every cell; <60 fires marked insufficient.
  Each cell is a RESTRICTION of the fires already taken.

  === LOW (n=685) ===
  evflr  maxp   secwin    |p-.5|      n      W%    per $1     total
  0.15   0.80   60-300    0.00      359   52.1%    +0.145    +52.11
  0.15   0.80   60-300    0.05      242   55.8%    +0.127    +30.74
  0.15   0.80   60-300    0.10      167   55.1%    +0.034     +5.74
  0.15   0.80   60-300    0.15       99   64.6%    +0.172    +17.03
  0.20   0.40   60-300    0.00      126   44.4%    +0.211    +26.57
  0.20   0.50   0-30      0.00       65   41.5%    -0.089     -5.76
  0.20   0.50   30-45     0.00       75   49.3%    +0.160    +11.99
  0.20   0.50   45-60     0.00       69   52.2%    +0.225    +15.54
  0.20   0.50   60-300    0.00      264   48.1%    +0.157    +41.39
  0.20   0.50   60-300    0.05      154   50.6%    +0.130    +19.98
  0.20   0.50   60-300    0.10       81   43.2%    -0.087     -7.02
  0.20   0.60   0-30      0.00       80   41.2%    -0.118     -9.40
  0.20   0.60   30-45     0.00      106   58.5%    +0.254    +26.97
  0.20   0.60   30-45     0.05       67   58.2%    +0.120     +8.02
  0.20   0.60   45-60     0.00       81   49.4%    +0.134    +10.84
  0.20   0.60   60-300    0.00      317   50.5%    +0.151    +47.82
  0.20   0.60   60-300    0.05      207   53.6%    +0.128    +26.41
  0.20   0.60   60-300    0.10      134   50.7%    -0.004     -0.59
  0.20   0.60   60-300    0.15       73   61.6%    +0.178    +13.00
  0.20   0.70   0-30      0.00       81   40.7%    -0.128    -10.40
  0.20   0.70   30-45     0.00      107   58.9%    +0.256    +27.42
  0.20   0.70   30-45     0.05       68   58.8%    +0.125     +8.48
  0.20   0.70   45-60     0.00       84   51.2%    +0.147    +12.33
  0.20   0.70   60-300    0.00      326   51.2%    +0.151    +49.38
  0.20   0.70   60-300    0.05      216   54.6%    +0.130    +27.97
  0.20   0.70   60-300    0.10      143   52.4%    +0.007     +0.97
  0.20   0.70   60-300    0.15       82   63.4%    +0.178    +14.56
  0.20   0.80   0-30      0.00       81   40.7%    -0.128    -10.40
  0.20   0.80   30-45     0.00      107   58.9%    +0.256    +27.42
  0.20   0.80   30-45     0.05       68   58.8%    +0.125     +8.48
  0.20   0.80   45-60     0.00       84   51.2%    +0.147    +12.33
  0.20   0.80   60-300    0.00      326   51.2%    +0.151    +49.38
  0.20   0.80   60-300    0.05      216   54.6%    +0.130    +27.97
  0.20   0.80   60-300    0.10      143   52.4%    +0.007     +0.97
  0.20   0.80   60-300    0.15       82   63.4%    +0.178    +14.56
  0.25   0.40   60-300    0.00      125   44.8%    +0.221    +27.57
  0.25   0.50   0-30      0.00       61   39.3%    -0.124     -7.55
  0.25   0.50   30-45     0.00       74   50.0%    +0.176    +12.99
  0.25   0.50   45-60     0.00       69   52.2%    +0.225    +15.54
  0.25   0.50   60-300    0.00      254   47.6%    +0.151    +38.30
  0.25   0.50   60-300    0.05      147   50.3%    +0.126    +18.46
  0.25   0.50   60-300    0.10       78   43.6%    -0.077     -5.98
  0.25   0.60   0-30      0.00       75   40.0%    -0.136    -10.19
  0.25   0.60   30-45     0.00      104   58.7%    +0.261    +27.17
  0.25   0.60   30-45     0.05       66   57.6%    +0.110     +7.23
  0.25   0.60   45-60     0.00       81   49.4%    +0.134    +10.84
  0.25   0.60   60-300    0.00      306   50.3%    +0.149    +45.73
  0.25   0.60   60-300    0.05      199   53.8%    +0.130    +25.89
  0.25   0.60   60-300    0.10      130   51.5%    +0.011     +1.44
  0.25   0.60   60-300    0.15       72   62.5%    +0.194    +14.00
  0.25   0.70   0-30      0.00       76   39.5%    -0.147    -11.19
  0.25   0.70   30-45     0.00      105   59.0%    +0.263    +27.63
  0.25   0.70   30-45     0.05       67   58.2%    +0.115     +7.69
  0.25   0.70   45-60     0.00       84   51.2%    +0.147    +12.33
  0.25   0.70   60-300    0.00      314   51.0%    +0.149    +46.82
  0.25   0.70   60-300    0.05      207   54.6%    +0.130    +26.98
  0.25   0.70   60-300    0.10      138   52.9%    +0.018     +2.53
  0.25   0.70   60-300    0.15       80   63.7%    +0.189    +15.09
  0.25   0.80   0-30      0.00       76   39.5%    -0.147    -11.19
  0.25   0.80   30-45     0.00      105   59.0%    +0.263    +27.63
  0.25   0.80   30-45     0.05       67   58.2%    +0.115     +7.69
  0.25   0.80   45-60     0.00       84   51.2%    +0.147    +12.33
  0.25   0.80   60-300    0.00      314   51.0%    +0.149    +46.82
  0.25   0.80   60-300    0.05      207   54.6%    +0.130    +26.98
  0.25   0.80   60-300    0.10      138   52.9%    +0.018     +2.53
  0.25   0.80   60-300    0.15       80   63.7%    +0.189    +15.09
  0.30   0.40   60-300    0.00       97   41.2%    +0.166    +16.10
  0.30   0.50   60-300    0.00      149   44.3%    +0.136    +20.27
  0.30   0.50   60-300    0.05       78   51.3%    +0.200    +15.60
  0.30   0.60   60-300    0.00      168   47.6%    +0.155    +26.09
  0.30   0.60   60-300    0.05       97   55.7%    +0.221    +21.42
  0.30   0.70   60-300    0.00      168   47.6%    +0.155    +26.09
  0.30   0.70   60-300    0.05       97   55.7%    +0.221    +21.42
  0.30   0.80   60-300    0.00      168   47.6%    +0.155    +26.09
  0.30   0.80   60-300    0.05       97   55.7%    +0.221    +21.42
  readable cells: 231 of 560   (329 insufficient, not read)

  READABLE-CELL COUNT PER BUCKET: LOW 159, MID 151, HIGH 231
