R-27  EF parameters per volatility regime
  2076 graded Polymarket fires with a prior-6-candle vol reading
  buckets fixed FIRST: rv6 (bps) cut at the 33rd/67th pct = 4.05 / 8.56

  THE PLAIN ANSWER: what the CURRENT parameters already do per bucket
  bucket       n      W%    per $1      total   med ask
  LOW        685   57.4%    +0.200    +136.96     0.470
  MID        706   50.4%    +0.095     +66.94     0.450
  HIGH       685   51.7%    +0.114     +77.89     0.450

  FULL GRID per bucket. Every cell; <60 fires marked insufficient.
  Each cell is a RESTRICTION of the fires already taken.

  === LOW (n=685) ===
  evflr  maxp   secwin    |p-.5|      n      W%    per $1     total
  0.15   0.60   60-300    0.15       77   71.4%    +0.269    +20.71
  0.15   0.70   0-30      0.00      120   46.7%    -0.057     -6.80
  0.15   0.70   0-30      0.05       91   42.9%    -0.189    -17.19
  0.15   0.70   30-45     0.00       93   59.1%    +0.261    +24.26
  0.15   0.70   45-60     0.00       72   50.0%    +0.123     +8.83
  0.15   0.70   60-300    0.00      421   49.6%    +0.097    +40.66
  0.15   0.70   60-300    0.05      231   53.7%    +0.037     +8.64
  0.15   0.70   60-300    0.10      146   56.8%    +0.032     +4.63
  0.15   0.70   60-300    0.15       87   70.1%    +0.229    +19.94
  0.15   0.80   0-30      0.00      120   46.7%    -0.057     -6.80
  0.15   0.80   0-30      0.05       91   42.9%    -0.189    -17.19
  0.15   0.80   30-45     0.00       93   59.1%    +0.261    +24.26
  0.15   0.80   45-60     0.00       72   50.0%    +0.123     +8.83
  0.15   0.80   60-300    0.00      421   49.6%    +0.097    +40.66
  0.15   0.80   60-300    0.05      231   53.7%    +0.037     +8.64
  0.15   0.80   60-300    0.10      146   56.8%    +0.032     +4.63
  0.15   0.80   60-300    0.15       87   70.1%    +0.229    +19.94
  0.20   0.40   60-300    0.00      152   44.7%    +0.221    +33.63
  0.20   0.50   30-45     0.00       62   48.4%    +0.132     +8.16
  0.20   0.50   60-300    0.00      258   46.1%    +0.140    +36.16
  0.20   0.50   60-300    0.05      109   46.8%    +0.003     +0.38
  0.20   0.60   30-45     0.00       66   51.5%    +0.173    +11.44
  0.20   0.60   60-300    0.00      296   48.3%    +0.139    +41.08
  0.20   0.60   60-300    0.05      147   51.0%    +0.036     +5.30
  0.20   0.60   60-300    0.10       90   52.2%    -0.007     -0.64
  0.20   0.70   30-45     0.00       68   52.9%    +0.184    +12.48
  0.20   0.70   60-300    0.00      299   48.5%    +0.138    +41.20
  0.20   0.70   60-300    0.05      150   51.3%    +0.036     +5.42
  0.20   0.70   60-300    0.10       93   52.7%    -0.006     -0.52
  0.20   0.80   30-45     0.00       68   52.9%    +0.184    +12.48
  0.20   0.80   60-300    0.00      299   48.5%    +0.138    +41.20
  0.20   0.80   60-300    0.05      150   51.3%    +0.036     +5.42
  0.20   0.80   60-300    0.10       93   52.7%    -0.006     -0.52
  0.25   0.40   60-300    0.00      152   44.7%    +0.221    +33.63
  0.25   0.50   60-300    0.00      234   47.0%    +0.174    +40.65
  0.25   0.50   60-300    0.05       94   48.9%    +0.053     +4.96
  0.25   0.60   60-300    0.00      271   49.1%    +0.165    +44.78
  0.25   0.60   60-300    0.05      131   52.7%    +0.069     +9.09
  0.25   0.60   60-300    0.10       83   54.2%    +0.031     +2.60
  0.25   0.70   60-300    0.00      274   49.3%    +0.164    +44.89
  0.25   0.70   60-300    0.05      134   53.0%    +0.069     +9.20
  0.25   0.70   60-300    0.10       86   54.7%    +0.032     +2.72
  0.25   0.80   60-300    0.00      274   49.3%    +0.164    +44.89
  0.25   0.80   60-300    0.05      134   53.0%    +0.069     +9.20
  0.25   0.80   60-300    0.10       86   54.7%    +0.032     +2.72
  0.30   0.40   60-300    0.00      109   52.3%    +0.457    +49.80
  0.30   0.50   60-300    0.00      149   53.7%    +0.393    +58.54
  0.30   0.60   60-300    0.00      153   54.2%    +0.392    +60.02
  0.30   0.70   60-300    0.00      155   54.8%    +0.394    +61.14
  0.30   0.70   60-300    0.05       61   54.1%    +0.141     +8.61
  0.30   0.80   60-300    0.00      155   54.8%    +0.394    +61.14
  0.30   0.80   60-300    0.05       61   54.1%    +0.141     +8.61
  readable cells: 151 of 560   (409 insufficient, not read)

  === HIGH (n=685) ===
  evflr  maxp   secwin    |p-.5|      n      W%    per $1     total
  0.00   0.40   60-300    0.00      126   44.4%    +0.211    +26.57
  0.00   0.50   0-30      0.00       74   39.2%    -0.146    -10.83
  0.00   0.50   30-45     0.00       82   51.2%    +0.186    +15.28
  0.00   0.50   45-60     0.00       71   50.7%    +0.191    +13.54
  0.00   0.50   60-300    0.00      273   47.6%    +0.144    +39.35
  0.00   0.50   60-300    0.05      156   50.0%    +0.115    +17.98
  0.00   0.50   60-300    0.10       81   43.2%    -0.087     -7.02
  0.00   0.60   0-30      0.00      108   42.6%    -0.131    -14.15
  0.00   0.60   0-30      0.05       81   48.1%    -0.060     -4.89
  0.00   0.60   0-30      0.10       63   46.0%    -0.133     -8.37
  0.00   0.60   30-45     0.00      123   60.2%    +0.263    +32.39
  0.00   0.60   30-45     0.05       84   60.7%    +0.160    +13.44
  0.00   0.60   30-45     0.10       64   68.8%    +0.288    +18.41
  0.00   0.60   45-60     0.00       89   47.2%    +0.072     +6.40
  0.00   0.60   60-300    0.00      346   51.2%    +0.145    +50.23
  0.00   0.60   60-300    0.05      229   54.6%    +0.126    +28.86
